,位置,地铁,小区,房屋户型,房屋朝向,月租金,楼层,面积
1559,浦东 洋泾,距地铁6号线民生路575米,巨西小区,1室1厅1卫,南,5000,高楼层 (共6层),40.61平米
1560,黄浦 黄浦滨江,距地铁9号线小南门736米,上海滩花园,2室2厅1卫  整租,南,16000,中楼层 (共18层),108平米
1561,嘉定 嘉定老城,暂无数据,张马路38弄,3室1厅1卫,南,3300,低楼层 (共6层),82.84平米
1562,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,5000,低楼层 (共18层),90.14平米
1563,闵行 梅陇,距地铁1号线外环路763米,罗阳七村(三洲花园),1室1厅1卫  整租,南,3500,低楼层 (共6层),42.55平米
1564,杨浦 新江湾城,距地铁10号线(新江湾城-虹桥火车站)三门路826米,尚浦名邸,3室2厅3卫,南,26500,中楼层 (共12层),197平米
1565,闵行 静安新城,距地铁9号线合川路931米,大上海国际花园十区,3室2厅1卫  整租,南,11000,低楼层 (共6层),98.18平米
1566,闵行 古美,距地铁1号线莲花路670米,南方新村,2室2厅1卫,南,5000,中楼层 (共6层),78.18平米
1567,青浦 赵巷,暂无数据,宝龙城市广场(青浦),3室1厅2卫,南,5500,中楼层 (共16层),76平米
1568,闸北 大宁,距地铁1号线中山北路416米,中山北路805弄,1室1厅1卫,南,3500,高楼层 (共6层),34.29平米
1569,普陀 真光,暂无数据,阳光威尼斯(二期),2室2厅1卫  整租,南,4800,低楼层 (共18层),91.33平米
1570,普陀 曹杨,距地铁3号线曹杨路531米,曹杨六村(兰溪园),2室1厅1卫,南,5500,中楼层 (共26层),61.56平米
1571,浦东 世博,距地铁7号线杨高南路244米,凯德嘉博名邸,2室1厅1卫,南,9000,低楼层 (共16层),91.96平米
1572,虹口 鲁迅公园,距地铁8号线曲阳路691米,欧四小区,1室0厅1卫,南,3600,中楼层 (共5层),29平米
1573,奉贤 海湾,暂无数据,海尚墅林苑,1室1厅1卫,南,1000,中楼层 (共17层),71平米
1574,闵行 颛桥,暂无数据,都市富苑,3室2厅1卫  整租,南,4580,低楼层 (共13层),97.72平米
1575,松江 佘山,暂无数据,绿地海珀佘山,2室1厅1卫,南 北,3000,中楼层 (共6层),68.51平米
1576,浦东 金杨,距地铁6号线云山路334米,名典苑,2室2厅1卫,南,6500,低楼层 (共11层),123平米
1577,闵行 莘庄,暂无数据,绿梅二村,2室1厅1卫  整租,南,4500,低楼层 (共6层),64平米
1578,浦东 张江,暂无数据,川杨新苑(一期),2室2厅1卫,南 北,5700,低楼层 (共13层),94平米
1579,嘉定 丰庄,暂无数据,嘉利坊,1室0厅1卫  整租,南,3500,低楼层 (共6层),34.38平米
1580,虹口 曲阳,暂无数据,巴林小区,2室1厅1卫,南,5300,中楼层 (共6层),54.4平米
1581,静安 南京西路,距地铁1号线汉中路777米,泰府名邸,2室2厅1卫  整租,南,18500,低楼层 (共32层),118.19平米
1582,闵行 颛桥,暂无数据,金榜星墅,5室2厅3卫  整租,南,12000,低楼层 (共3层),219.52平米
1583,长宁 天山,距地铁2号线威宁路931米,仁恒河滨花园,3室2厅2卫,南,32000,高楼层 (共31层),184.58平米
1584,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,4200,高楼层 (共18层),89平米
1585,徐汇 徐家汇,距地铁1号线徐家汇662米,南天大楼,2室1厅1卫  整租,东南,9500,高楼层 (共23层),82.4平米
1586,普陀 曹杨,距地铁11号线(迪士尼-花桥)枫桥路257米,曹杨七村,2室0厅1卫,南,4500,低楼层 (共5层),45平米
1587,普陀 桃浦,暂无数据,同进理想城,2室2厅2卫  整租,南,4200,中楼层 (共9层),41.2平米
1588,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
1589,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
1590,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
1591,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
1592,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
1593,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
1594,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
1595,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
1596,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
1597,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
1598,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
1599,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
1600,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
1601,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
1602,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
1603,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
1604,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
1605,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
1606,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
1607,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
1608,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
1609,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
1610,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
1611,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
1612,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
1613,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
1614,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
1615,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
1616,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
1617,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
1618,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
1619,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
1620,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
1621,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
1622,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
1623,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
1624,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
1625,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
1626,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
1627,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
1628,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
1629,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
1630,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
1631,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
1632,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
1633,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
1634,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
1635,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
1636,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
1637,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
1638,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
1639,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
1640,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
1641,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
1642,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
1643,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
1644,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
1645,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
1646,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
1647,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
1648,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
1649,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
1650,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
1651,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
1652,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
1653,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
1654,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
1655,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
1656,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
1657,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
1658,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
1659,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
1660,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
1661,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
1662,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
1663,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
1664,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
1665,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
1666,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
1667,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
1668,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
1669,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
1670,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
1671,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
1672,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
1673,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
1674,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
1675,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
1676,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
1677,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
1678,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
1679,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
1680,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
1681,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
1682,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
1683,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
1684,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
1685,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
1686,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
1687,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
1688,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
1689,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
1690,黄浦 打浦桥,距地铁9号线打浦桥211米,海丽花园,3室2厅2卫,南,16800,低楼层 (共33层),117.72平米
1691,青浦 徐泾,暂无数据,安盛杉庄,4室2厅3卫,南,13000,低楼层 (共3层),222.96平米
1692,嘉定 南翔,暂无数据,湖畔天下(商业类),4室1厅3卫  整租,南,10000,高楼层 (共24层),179平米
1693,长宁 西郊,暂无数据,福泉路450弄,1室1厅1卫,南,3400,低楼层 (共6层),52.1平米
1694,黄浦 五里桥,距地铁9号线马当路206米,汇龙新城,3室2厅2卫  整租,南,19800,高楼层 (共30层),155.28平米
1695,青浦 夏阳,暂无数据,鑫塔水尚,2室2厅1卫,南,4000,中楼层 (共11层),90.51平米
1696,浦东 潍坊,距地铁9号线商城路772米,朱家滩小区,2室1厅1卫,南,4800,低楼层 (共6层),43.73平米
1697,长宁 西郊,暂无数据,虹桥机场新村,2室1厅1卫,南,4600,中楼层 (共6层),56.58平米
1698,宝山 上大,暂无数据,慧华苑,1室1厅1卫,南,3500,高楼层 (共6层),48.78平米
1699,青浦 香花桥,暂无数据,葛洲坝绿城玉兰花园,4室2厅2卫,南,7500,低楼层 (共1层),218平米
1700,嘉定 安亭,暂无数据,路劲上海派,2室1厅1卫,南,1700,低楼层 (共17层),69平米
1701,浦东 源深,距地铁6号线源深体育中心816米,陆家嘴花园(一期),1室2厅1卫,南,8700,低楼层 (共25层),74.57平米
1702,浦东 杨东,暂无数据,凤凰家园,6室3厅3卫,南,20000,高楼层 (共6层),287.14平米
1703,浦东 周浦,暂无数据,信诚丽都苑,2室2厅1卫,南 北,4200,中楼层 (共6层),86平米
1704,浦东 北蔡,距地铁7号线锦绣路1028米,大华锦绣华城(十街区),2室1厅1卫,南,4500,高楼层 (共6层),56.55平米
1705,浦东 川沙,距地铁2号线川沙1025米,妙龙小区,3室1厅1卫,南,3600,中楼层 (共6层),73.28平米
1706,嘉定 嘉定老城,暂无数据,红土天阶,2室1厅1卫,南,3200,低楼层 (共17层),47平米
1707,松江 九亭,暂无数据,摩卡小城,3室2厅2卫,南,6800,中楼层 (共11层),127.22平米
1708,嘉定 南翔,暂无数据,宏立瑞园,1室1厅1卫  整租,南,3300,低楼层 (共18层),59.68平米
1709,闵行 七宝,暂无数据,茂盛花苑,2室1厅1卫,南,4400,高楼层 (共6层),55.72平米
1710,浦东 世博,距地铁6号线东明路721米,昌七小区,1室1厅1卫,南,3800,低楼层 (共6层),44.97平米
1711,青浦 赵巷,暂无数据,金地佘山天境(公寓),4室2厅2卫,南,9000,中楼层 (共4层),125平米
1712,浦东 张江,暂无数据,古桐公寓,2室1厅1卫,南,6000,中楼层 (共5层),76平米
1713,松江 泗泾,距地铁9号线泗泾931米,西南名苑,2室1厅1卫,南,4000,高楼层 (共5层),80平米
1714,松江 松江大学城,暂无数据,文翔名苑(公寓),3室2厅1卫,南,3800,中楼层 (共5层),88.02平米
1715,虹口 曲阳,距地铁3号线赤峰路472米,建工天峰公寓,2室1厅1卫,南,8000,中楼层 (共6层),63.69平米
1716,徐汇 徐家汇,距地铁3号线宜山路566米,柿子湾小区,1室1厅1卫  整租,南,4800,低楼层 (共6层),39.56平米
1717,奉贤 南桥,暂无数据,航星新村,3室1厅1卫,南,2100,高楼层 (共6层),98平米
1718,浦东 川沙,暂无数据,川虹新苑,3室1厅1卫,南,3800,中楼层 (共15层),73平米
1719,浦东 外高桥,距地铁6号线港城路1013米,怡心苑,4室2厅2卫,南,7000,高楼层 (共6层),156.22平米
